Species,Brood Year,Stream Name,Hatchery Salmon Total,Wild Salmon Total,Number Of Spawners
Chinook,1962,Sulphur Cr,0.0,1290.0,1290.0
Chinook,1962,Upper Grande Ronde River,0.0,2918.0,2918.0
Chinook,1962,Upper Salmon River Mainstem,0.0,7047.0,7047.0
Chinook,1962,Valley Cr,0.0,2220.0,2220.0
Chinook,1962,Wenatchee R,0.0,9168.0,9168.0
Chinook,1962,Yankee Fork Salmon R,0.0,1509.0,1509.0
Chinook,1963,Bear Valley Cr,0.0,6318.0,6318.0
Chinook,1963,Big Cr,0.0,2190.0,2190.0
Chinook,1963,Camas Cr,0.0,1419.0,1419.0
Chinook,1963,Catherine Creek,0.0,939.0,939.0
Chinook,1963,East Fork Salmon River ,0.0,7623.0,7623.0
Chinook,1963,East Fork South Fork Salmon River,0.0,2052.0,2052.0
Chinook,1963,Entiat R,0.0,1356.0,1356.0
Chinook,1963,Imnaha River,0.0,3348.0,3348.0
Chinook,1963,Lemhi R,0.0,2145.0,2145.0
Chinook,1963,Loon Cr,0.0,1950.0,1950.0
Chinook,1963,Lostine/Wallowa,0.0,3312.0,3312.0
Chinook,1963,Marsh Cr,0.0,2904.0,2904.0
Chinook,1963,Methow R,0.0,6279.0,6279.0
Chinook,1963,Minam River,0.0,2334.0,2334.0
Chinook,1963,Salmon R Lower Mainstem,0.0,1128.0,1128.0
Chinook,1963,Secesh R,0.0,1254.0,1254.0
Chinook,1963,South Fork Salmon Mainstem,0.0,7326.0,7326.0
Chinook,1963,Sulphur Cr,0.0,1932.0,1932.0
Chinook,1963,Upper Grande Ronde River,0.0,345.0,345.0
Chinook,1963,Upper Salmon River Mainstem,0.0,6498.0,6498.0
Chinook,1963,Valley Cr,0.0,1560.0,1560.0
Chinook,1963,Wenatchee R,0.0,5622.0,5622.0
Chinook,1963,Yankee Fork Salmon R,0.0,2610.0,2610.0
Chinook,1964,Bear Valley Cr,0.0,5679.0,5679.0
Chinook,1964,Big Cr,0.0,753.0,753.0
Chinook,1964,Camas Cr,0.0,1662.0,1662.0
Chinook,1964,Catherine Creek,0.0,624.0,624.0
Chinook,1964,East Fork Salmon River ,0.0,5583.0,5583.0
Chinook,1964,East Fork South Fork Salmon River,0.0,2391.0,2391.0
Chinook,1964,Entiat R,0.0,3591.0,3591.0
Chinook,1964,Imnaha River,0.0,6291.0,6291.0
Chinook,1964,Lemhi R,0.0,6201.0,6201.0
Chinook,1964,Loon Cr,0.0,2697.0,2697.0
Chinook,1964,Lostine/Wallowa,0.0,4755.0,4755.0
Chinook,1964,Marsh Cr,0.0,5535.0,5535.0
Chinook,1964,Methow R,0.0,12594.0,12594.0
Chinook,1964,Minam River,0.0,3009.0,3009.0
Chinook,1964,Salmon R Lower Mainstem,0.0,2400.0,2400.0
Chinook,1964,Secesh R,0.0,1983.0,1983.0
Chinook,1964,South Fork Salmon Mainstem,0.0,2724.0,2724.0
Chinook,1964,Sulphur Cr,0.0,564.0,564.0
Chinook,1964,Upper Grande Ronde River,0.0,1650.0,1650.0
Chinook,1964,Upper Salmon River Mainstem,0.0,6141.0,6141.0
Chinook,1964,Valley Cr,0.0,2202.0,2202.0
Chinook,1964,Wenaha River,0.0,4758.0,4758.0
Chinook,1964,Wenatchee R,0.0,8313.0,8313.0
Chinook,1964,Wind R,2349.0,0.0,2349.0
Chinook,1964,Yankee Fork Salmon R,0.0,1875.0,1875.0
Chinook,1965,Bear Valley Cr,0.0,2859.0,2859.0
Chinook,1965,Big Cr,0.0,1080.0,1080.0
Chinook,1965,Camas Cr,0.0,207.0,207.0
Chinook,1965,Catherine Creek,0.0,2310.0,2310.0
Chinook,1965,East Fork Salmon River ,0.0,2334.0,2334.0
Chinook,1965,East Fork South Fork Salmon River,0.0,894.0,894.0
Chinook,1965,Entiat R,0.0,972.0,972.0
Chinook,1965,Imnaha River,0.0,4758.0,4758.0
Chinook,1965,Lemhi R,0.0,2598.0,2598.0
Chinook,1965,Loon Cr,0.0,1239.0,1239.0
Chinook,1965,Lostine/Wallowa,0.0,2868.0,2868.0
Chinook,1965,Marsh Cr,0.0,3156.0,3156.0
Chinook,1965,Methow R,0.0,4668.0,4668.0
Chinook,1965,Minam River,0.0,2607.0,2607.0
Chinook,1965,Salmon R Lower Mainstem,0.0,1161.0,1161.0
Chinook,1965,Secesh R,0.0,1068.0,1068.0
Chinook,1965,South Fork Salmon Mainstem,0.0,4545.0,4545.0
Chinook,1965,Sulphur Cr,0.0,327.0,327.0
Chinook,1965,Upper Grande Ronde River,0.0,1860.0,1860.0
Chinook,1965,Upper Salmon River Mainstem,0.0,6537.0,6537.0
Chinook,1965,Valley Cr,0.0,2130.0,2130.0
Chinook,1965,Wenaha River,0.0,2277.0,2277.0
Chinook,1965,Wenatchee R,0.0,10569.0,10569.0
Chinook,1965,Wind R,315.0,0.0,315.0
Chinook,1965,Yankee Fork Salmon R,0.0,1692.0,1692.0
Chinook,1966,Bear Valley Cr,0.0,6006.0,6006.0
Chinook,1966,Big Cr,0.0,1818.0,1818.0
Chinook,1966,Camas Cr,0.0,1107.0,1107.0
Chinook,1966,Catherine Creek,0.0,1878.0,1878.0
Chinook,1966,East Fork Salmon River ,0.0,6237.0,6237.0
Chinook,1966,East Fork South Fork Salmon River,0.0,852.0,852.0
Chinook,1966,Entiat R,0.0,2871.0,2871.0
Chinook,1966,Imnaha River,0.0,5613.0,5613.0
Chinook,1966,Lemhi R,0.0,4428.0,4428.0
Chinook,1966,Loon Cr,0.0,366.0,366.0
Chinook,1966,Lostine/Wallowa,0.0,3852.0,3852.0
Chinook,1966,Marsh Cr,0.0,3171.0,3171.0
